,Data Source,Import/Export,Date,HS Code,Product Description,Purchaser,Supplier,Weight,Quantity,Amount,Destination,Origin,Product,Month/Year
237,All of Vietnam,Export,2024-05-09,20060000.0,"Xoài sấy dẻo, nhãn hiệu- SOFT DRIED MANGO SLICE 200GR. Hàng mới 100%#&VN",Sei Wha Corp,Công ty TNHH MTV Tam Ngọc,,1710.0,252.8,South Korea,Vietnam,Xoài sấy,2024-05
238,All of Vietnam,Export,2024-04-11,20089990.0,"Xoài sấy (Dried Mango), quy cách đóng gói: Pack*400 Gram/Box. Hàng mới 100%#&VN",Uab Baltic Fresh Fruit,Công ty TNHH Atl Global,,14000.0,1943.9,Lithuania,Vietnam,Xoài sấy,2024-04
239,All of Vietnam,Export,2024-05-07,20060000.0,"Xoài sấy dẻo - Dried Mango, 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Guojingyuan Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26500.0,2332.1,China,Vietnam,Xoài sấy,2024-05
240,All of Vietnam,Export,2024-04-10,20060000.0,"""DRIED MANGO (250G/BAG - XOÀI SẤY DẺO) MANUFACTURE: DAC SAN NGON BA MIEN -HÀNG CÁ NHÂN, MỚI 100% ""#&VN",Giao Nguyen,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,2.0,0.1,United States of America,Vietnam,Xoài sấy,2024-04
241,All of Vietnam,Export,2024-05-07,20060000.0,"Xoài sấy dẻo - Dried Mango, 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Chengju Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26500.0,2332.1,China,Vietnam,Xoài sấy,2024-05
242,All of Vietnam,Export,2024-05-04,20060000.0,"Xoài sấy dẻo - Dried Mango , 10 kg/Carton. Hàng mới 100%#&VN",Mmbi Corp Food Trading Limited Liability Company,Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,12000.0,1458.7,United Arab Emirates,Vietnam,Xoài sấy,2024-05
243,All of Vietnam,Export,2024-04-28,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,24620.0,2703.7,China,Vietnam,Xoài sấy,2024-04
244,All of Vietnam,Export,2024-04-28,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,56380.0,5993.2,China,Vietnam,Xoài sấy,2024-04
245,All of Vietnam,Export,2024-04-24,20060000.0,"Xoài sấy dẻo,thái lát, có tẩm đường, đóng gói : 20kg/ thùng - Soft dried Mango#&VN",99 Shipchandler Pty Ltd,Công ty TNHH Ft Fruits International Pvt,,40.0,12.1,Vietnam,Vietnam,Xoài sấy,2024-04
246,All of Vietnam,Export,2024-04-23,20060000.0,"Xoài sấy dẻo - Dried Mango , 10 kg/Carton. Hàng mới 100%#&VN",Segiz Llc,Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26200.0,2739.0,Kyrgyzstan,Vietnam,Xoài sấy,2024-04
247,All of Vietnam,Export,2024-04-09,20079990.0,"DRIED MANGO, PN NUMBER: 240495342732, WEIGHT: 0.3KG/BOX, PACKAGED BY PLASTIC BOX, MANUFACTURER: VINH THAI, TÊN HÀNG TIẾNG VIỆT: XOÀI SẤY#&VN",Steven Luong,Công ty TNHH Thương Mại Dịch Vụ T.T Quốc Tế,,11.0,0.5,United States of America,Vietnam,Xoài sấy,2024-04
248,All of Vietnam,Export,2024-04-09,8134090.0,"SOFT DRIED MANGO 500G/BAG - XOÀI SẤY DẺO,MFG:THANH LONG CO.,LTD,#&VN",Mya Tran,Công ty TNHH Logasia Scm,,1.0,0.1,Vietnam,Vietnam,Xoài sấy,2024-04
249,All of Vietnam,Export,2024-04-09,20089990.0,XKDZM#&Xoài không đường - Dried Mango A _ No Sugar (500g/túi); Hàng mới 100%#&VN,"George And Stephen, S.R.O",CTCP Công Nghệ Thực Phẩm Lương Gia,,1760.0,230.0,Czechia,Vietnam,Xoài sấy,2024-04
250,All of Vietnam,Export,2024-04-09,20089990.0,XZ40M#&Xoài sấy dẻo - Dried Mango (40/bag); Hàng mới 100%#&VN,"George And Stephen, S.R.O",CTCP Công Nghệ Thực Phẩm Lương Gia,,40000.0,263.6,Czechia,Vietnam,Xoài sấy,2024-04
251,All of Vietnam,Export,2024-04-09,20060000.0,"Xoài sấy dẻo (VN Soft Dried Mango ). 2kg/gói, Hiệu: VN NLF. Hàng mới 100%, NSX:25/3/2024#&VN",Elisa Lartigue,Công ty TNHH Lê Trung Thiên,,100.0,15.4,Vietnam,Vietnam,Xoài sấy,2024-04
252,All of Vietnam,Export,2024-04-22,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,20130.0,2210.6,China,Vietnam,Xoài sấy,2024-04
253,All of Vietnam,Export,2024-04-22,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,33870.0,3600.4,China,Vietnam,Xoài sấy,2024-04
254,All of Vietnam,Export,2024-04-22,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Lanmei International Supply Chain Co.,Ltd.",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,62100.0,4681.7,China,Vietnam,Xoài sấy,2024-04
255,All of Vietnam,Export,2024-04-20,20060000.0,"""DRIED CHILI MANGO (200G/BAG - XOÀI MUỐI ỚT) MANUFACTURE: DAC SAN NGON BA MIEN -HÀNG CÁ NHÂN, MỚI 100% ""#&VN",Skylar Nguyen,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,17.0,1.7,Vietnam,Vietnam,Xoài sấy,2024-04
256,All of Vietnam,Export,2024-04-08,20060000.0,"Xoài sấy khô,thái lát, có tẩm đường, đóng gói : 10kg/ thùng - Dried Mango#&VN",99 Shipchandler Pty Ltd,Công ty TNHH Ft Fruits International Pvt,,10.0,3.1,Seychelles,Vietnam,Xoài sấy,2024-04
257,All of Vietnam,Export,2024-04-19,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Lanmei International Supply Chain Co.,Ltd.",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,62380.0,4646.7,China,Vietnam,Xoài sấy,2024-04
258,All of Vietnam,Export,2024-04-08,20079920.0,"""DRIED MANGO JAM / MỨT XOÀI ( 5KG/BAG)MANUFACTURER: KIKI FOOD PTY.,LTD,HÀNG QUÀ TẶNG- MỚI 100%""#&VN",Kim Thi Dao,Công ty TNHH Dịch Vụ Giao Nhận Quốc Tế Việt An,,2.0,0.4,Vietnam,Vietnam,Xoài sấy,2024-04
259,All of Vietnam,Export,2024-04-06,20060000.0,"DRIED MANGO (0.5KG/BAG) - XOÀI SẤY MANUFACTURER: THANH LONG CO., LTD -HÀNG CÁ NHÂN, MỚI 100%#&VN",Pham Hung Cuong,Công ty TNHH Dịch Vụ Mkc,,2.0,0.1,Canada,Vietnam,Xoài sấy,2024-04
260,All of Vietnam,Export,2024-04-06,8134090.0,"""DRIED SOFT MANGO: XOÀI SẤY DẺO (300G/BAG) PNC: 240495066210 , NSX : MAICA FOOD CO,LTD , HÀNG QUÀ TẶNG MỚI 100%. ""#&VN",Victor Vu,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,2.0,0.2,Vietnam,Vietnam,Xoài sấy,2024-04
261,All of Vietnam,Export,2024-04-06,8134090.0,"SOFT DRIED MANGO 250G/BAG - XOÀI SẤY DẺO, MADE IN VIETNAM, HÀNG CÁ NHÂN 100%.#&VN",Thien Phuoc Nguyen,Công ty TNHH Logasia Scm,,8.0,0.6,Vietnam,Vietnam,Xoài sấy,2024-04
262,All of Vietnam,Export,2024-04-05,20060000.0,XOÀI SẤY DẺO - DRIED MANGO SLICE - ĐÓNG GÓI 10KGS/ CARTON #&VN,"Ny Co., Ltd",Công ty TNHH Thực Phẩm Thuận Phong Phát,,5000.0,664.5,South Korea,Vietnam,Xoài sấy,2024-04
263,All of Vietnam,Export,2024-04-17,20060000.0,"""DRIED CHILI MANGO (200G/BAG - XOÀI MUỐI ỚT) MANUFACTURE: DAC SAN NGON BA MIEN -HÀNG CÁ NHÂN, MỚI 100% ""#&VN",Nhi Dang,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,13.0,1.2,Vietnam,Vietnam,Xoài sấy,2024-04
264,All of Vietnam,Export,2024-04-17,20060000.0,"Xoài sấy dẻo - Dried Mango, 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Guojingyuan Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26500.0,2303.0,China,Vietnam,Xoài sấy,2024-04
265,All of Vietnam,Export,2024-04-15,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,27000.0,2929.7,China,Vietnam,Xoài sấy,2024-04
266,All of Vietnam,Export,2024-04-04,8134090.0,"""DRIED MANGO MIXING CHILI SALT: XOÀI KEO RIM MUỐI ỚT (500G/ BAG) MANUFACTURER: TRUC NHI FOOD JOINT STOCK COMPANY ""#&VN",Tuyen Nguyen,Công ty TNHH Dịch Vụ Vận Tải Quốc Tế Airlink,,12.0,0.7,Vietnam,Vietnam,Xoài sấy,2024-04
267,All of Vietnam,Export,2024-04-15,20060000.0,"Xoài sấy dẻo - Dried Mango , 10 kg/Carton. Hàng mới 100%#&VN",Segiz Llc,Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26200.0,2706.3,Kyrgyzstan,Vietnam,Xoài sấy,2024-04
268,All of Vietnam,Export,2024-04-10,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Ningming Qinghe Fruit & Food Co, Ltd",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,26500.0,1509.7,China,Vietnam,Xoài sấy,2024-04
269,All of Vietnam,Export,2024-04-10,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Ningming Qinghe Fruit & Food Co, Ltd",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,26500.0,1509.7,China,Vietnam,Xoài sấy,2024-04
270,All of Vietnam,Export,2024-04-09,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Lanmei International Supply Chain Co., Ltd.",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,81000.0,4614.7,China,Vietnam,Xoài sấy,2024-04
271,All of Vietnam,Export,2024-04-04,20089990.0,"Xoài sấy được xếp trong túi , DRIED MANGO 5KG - Packing: 5Kg/Bag, 2 Bags/Carton. Hàng mới 100%#&VN","Llc ""Asiya Treyd""",Công ty TNHH MTV Tam Ngọc,,25000.0,2461.0,Kazakhstan,Vietnam,Xoài sấy,2024-04
272,All of Vietnam,Export,2024-04-08,20060000.0,"Quả xoài thái lát sấy khô có tẩm đường, DRIED MANGO , tên khoa học : Mangifera indica NET : 10KGS/CARTON, hàng mới 100%#&VN","Guangxi Qiu Zhi Guo Food Co.,Ltd",Công ty TNHH Xuất Nhập Khẩu Trái Cây Yến Hoàng,,27500.0,2345.2,China,Vietnam,Xoài sấy,2024-04
273,All of Vietnam,Export,2024-04-03,20089990.0,Xoài thái lát sấy khô gói 100gr - Dried Mango 100gr. Hàng đóng 100gr/gói x 24 gói/carton ( N.W: 2.4 kgs/ carton - G.W: 3.0kgs/carton ). Xx: Việt Nam. Hàng mới 100%.#&VN,Jk Foods Uk,Công ty TNHH Thương Mại Dịch Vụ Nông Sản Diệu Phú,,998.4,179.4,United Kingdom,Vietnam,Xoài sấy,2024-04
274,All of Vietnam,Export,2024-04-03,8134090.0,"""DRIED MANGO (1KG/BAG)/ XOÀI SẤY,MANUFACTURE: TRI DUC PRODUCTION TRADE SERVICES CO,LTD ,HÀNG CÁ NHÂN- MỚI 100%""#&VN",My Nguyen,Công ty TNHH Dịch Vụ Mkc,,2.0,0.1,United States of America,Vietnam,Xoài sấy,2024-04
275,All of Vietnam,Export,2024-04-08,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/ CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,4380.0,474.1,China,Vietnam,Xoài sấy,2024-04
276,All of Vietnam,Export,2024-04-03,8134090.0,"""DRIED MANGO ( XOÀI SẤY DẺO ) DISTRIBUTED BY: TRÍ ĐỨC , "", HÀNG QUÀ TẶNG- MỚI 100%#&VN",Trinh Vu,Công ty TNHH Tiếp Vận Yi Xin Toàn Cầu,,9.0,0.4,Vietnam,Vietnam,Xoài sấy,2024-04
277,All of Vietnam,Export,2024-04-03,8045022.0,Xoài sấy dẻo (SOFT DRIED MANGO) Túi zip 250gr x 24 túi/Thùng carton . Hàng do Việt Nam sản xuất#&VN,Carron Contracts Ltd,Công Ty Cp Chế Biến Và Xuất Khẩu Lương Thực Đồng Xanh,,78.0,14.9,Vietnam,Vietnam,Xoài sấy,2024-04
278,All of Vietnam,Export,2024-04-08,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,22620.0,2370.1,China,Vietnam,Xoài sấy,2024-04
279,All of Vietnam,Export,2024-04-05,20060000.0,"Quả xoài thái lát sấy khô có tẩm đường, DRIED MANGO , tên khoa học : Mangifera indica NET : 10KGS/CARTON, hàng mới 100%#&VN","Guangxi Qiu Zhi Guo Food Co.,Ltd",Công ty TNHH Xuất Nhập Khẩu Trái Cây Yến Hoàng,,26500.0,2066.8,Vietnam,Vietnam,Xoài sấy,2024-04
280,All of Vietnam,Export,2024-04-04,20060000.0,"Quả xoài thái lát sấy khô có tẩm đường, DRIED MANGO , tên khoa học : Mangifera indica NET : 10KGS/CARTON, hàng mới 100%#&VN","Maoming Baiguoyuan Food Co.,Ltd",Công ty TNHH Neway International Supply Chain,,55500.0,4507.3,Vietnam,Vietnam,Xoài sấy,2024-04
281,All of Vietnam,Export,2024-04-02,8134090.0,"DRIED MANGO (100G/BAG) - XOÀI SẤY DẺO,LUONG GIA FOOD TECHNOLOGY CORPORATION,HÀNG QUÀ TẶNG- MỚI 100%#&VN",Ynhi Phan,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,4.0,0.2,Vietnam,Vietnam,Xoài sấy,2024-04
282,All of Vietnam,Export,2024-04-02,20089990.0,"Xoài sấy dẻo /Dried Mango/ nhãn hiệu POMELO - 400g/túi, 20 túi/thùng, 25 thùng- boxes. hàng mới 100%#&VN","Tien Thien Thanh International Trade Co., Ltd",Công ty TNHH Thương Mại Quốc Tế Tân Phú Quý,,25.0,32.5,Taiwan,Vietnam,Xoài sấy,2024-04
283,All of Vietnam,Export,2024-04-02,20060000.0,"Xoài sấy dẻo - Dried Mango ( không nhãn hiệu ) , 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Chengju Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,53000.0,4565.2,China,Vietnam,Xoài sấy,2024-04
284,All of Vietnam,Export,2024-04-02,20060000.0,"Xoài sấy dẻo - Dried Mango ( không nhãn hiệu ), 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Guojingyuan Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26500.0,2282.6,China,Vietnam,Xoài sấy,2024-04
285,All of Vietnam,Export,2024-04-01,20079990.0,"""DRIED MANGO - XOÀI SẤY DẺO ( 100% DRIED MANGO ) MFG: CÔNG TY TNHH THANH NHAN NW: 200G/JAR -HÀNG CÁ NHÂN, MỚI 100% ""#&VN",Hanh Nguyen,Công ty TNHH Dịch Vụ Mkc,,1.0,0.0,United States of America,Vietnam,Xoài sấy,2024-04
286,All of Vietnam,Export,2024-04-02,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Lanmei International Supply Chain Co., Ltd.",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,29710.0,1681.7,China,Vietnam,Xoài sấy,2024-04
287,All of Vietnam,Export,2024-04-01,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/ CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,7270.0,780.1,China,Vietnam,Xoài sấy,2024-04
288,All of Vietnam,Export,2024-04-01,20089990.0,"Xoài sấy dẻo , nhãn hiệu-DRIED MANGO 250GR - Packing: 250Gr/Bag, 72 Bags/Carton.Hàng mới 100%#&VN",Cham International Foods Limited,Công ty TNHH MTV Tam Ngọc,,10008.0,1268.4,Romania,Vietnam,Xoài sấy,2024-04
289,All of Vietnam,Export,2024-04-01,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,46730.0,4853.1,China,Vietnam,Xoài sấy,2024-04
290,All of Vietnam,Export,2024-04-01,20060000.0,"XOÀI SẤY DẺO (DRIED MANGO), 2,5kgx4/ctn. HÀNG MỚI 100%#&VN",Island Snacks,Công ty TNHH Atl Global,,14000.0,2039.7,United States of America,Vietnam,Xoài sấy,2024-04
291,All of Vietnam,Export,2024-04-01,20060000.0,"""DRIED MANGO - XOÀI SẤY DẺO (500G/UNK) ,MFG: VNLINK INTERNATIONAL TRANSPORTATION COMPANY LIMITED "", HÀNG QUÀ TẶNG- MỚI 100%#&VN",Amy Le,Công ty TNHH Vận Tải Quốc Tế Vnlink,,48.0,1.2,United States of America,Vietnam,Xoài sấy,2024-04
292,All of Vietnam,Export,2024-03-30,20060000.0,"Xoài lát sấy khô ( đã tẩm đường) - DRIED MANGO SLICES 6OZ/BAG, Hàng mới 100%#&VN",Al Bogari Trading Co Llc,Công ty TNHH MTV Tam Ngọc,,16972.8,1984.1,United Arab Emirates,Vietnam,Xoài sấy,2024-03
293,All of Vietnam,Export,2024-03-30,20060000.0,"""DRIED MANGO - XOÀI SẤY DẺO (500G/UNK) ,MFG: VNLINK INTERNATIONAL TRANSPORTATION COMPANY LIMITED "", HÀNG QUÀ TẶNG- MỚI 100%#&VN",Amy Le,Công ty TNHH Vận Tải Quốc Tế Vnlink,,6.0,0.1,United States of America,Vietnam,Xoài sấy,2024-03
294,All of Vietnam,Export,2024-03-29,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Baiguoxiang Food Co., Ltd",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,26500.0,1500.0,China,Vietnam,Xoài sấy,2024-03
295,All of Vietnam,Export,2024-03-25,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/ CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,13520.0,1450.7,China,Vietnam,Xoài sấy,2024-03
296,All of Vietnam,Export,2024-03-29,20079990.0,"DRIED MANGO (INCLUDES 4 BAGS, EACH BAG 500G - XOÀI SẤY KHÔ), HÀNG TẶNG MỚI 100%#&VN",Hanh Pham,Công ty TNHH Thương Mại-Dịch Vụ Long Hưng Phát,,4.0,0.4,United States of America,Vietnam,Xoài sấy,2024-03
297,All of Vietnam,Export,2024-03-29,20089990.0,"Xoài sấy dẻo, nhãn hiệu- DRIED MANGO 500GR- Packing: 500Gr/Tray, 20 Trays/Carton.Hàng mới 100%#&VN",Uab Atlantic Way,Công ty TNHH MTV Tam Ngọc,,24000.0,2776.0,Lithuania,Vietnam,Xoài sấy,2024-03
298,All of Vietnam,Export,2024-03-25,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,39480.0,4100.2,China,Vietnam,Xoài sấy,2024-03
299,All of Vietnam,Export,2024-03-28,20089990.0,"Xoài sấy dẻo - Dehydrated Dried Mango Slices 70 gr - sugar content: 75-85%. Quy cách: 70gr/Gói, 50 gói/ 1 thùng. NSX: 04/03/2024 & 09/03/2024. HSD: 04/03/2027 & 09/03/2027. Hàng mới 100%#&VN",Delpasso Llc,Công ty TNHH Thương Mại Trung Minh Thành,,1922.0,1066.6,Russia,Vietnam,Xoài sấy,2024-03
300,All of Vietnam,Export,2024-03-23,20060000.0,"Xoài sấy dẻo - Dried Mango , 10 kg/Carton. Hàng mới 100%#&VN",Segiz Llc,Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,52400.0,5347.1,Kyrgyzstan,Vietnam,Xoài sấy,2024-03
301,All of Vietnam,Export,2024-03-18,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/ CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,2000.0,179.6,China,Vietnam,Xoài sấy,2024-03
302,All of Vietnam,Export,2024-03-18,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/ CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,30370.0,3143.8,China,Vietnam,Xoài sấy,2024-03
303,All of Vietnam,Export,2024-03-18,20060000.0,DRIED MANGO - Xoài ướp đường sấy khô (net weight: 10kgs/CT). hàng mới 100%#&VN,"Zhejiang Wuhan Supply Chain Management Co.,Ltd.",Công ty TNHH Mtv Thực Phẩm Nhất Phẩm Việt Nam,,20630.0,2206.4,China,Vietnam,Xoài sấy,2024-03
304,All of Vietnam,Export,2024-03-15,20060000.0,"Xoài tẩm đường sấy dẻo - DRIED WHOLE MANGO PACKED IN 7OG, đóng gói: 70grams/ bag. Hàng mới 100%#&VN",Sc Cintro Com Srl,Công ty TNHH Xuất Khẩu Chuối Minh Châu,,17885.0,2149.7,Russia,Vietnam,Xoài sấy,2024-03
305,All of Vietnam,Export,2024-03-12,20060000.0,"Xoài sấy dẻo / SOFT DRIED MANGO 100G, quy cách: 50 gói/thùng, nhãn hiệu: TOPVALU, hàng mới 100%#&VN",Aeon Co.(M) Bhd,Công ty TNHH Aeon Topvalu Việt Nam,,2500.0,78.5,Malaysia,Vietnam,Xoài sấy,2024-03
306,All of Vietnam,Export,2024-03-26,20079990.0,"DRIED MANGO,0.25KG/BAG, PACKAGED BY PLASTIC BAG, MANUFACTURER: THAI ARGO INTERTRADE CO.,LTD -XOÀI SẤY ,-HÀNG QUÀ TẶNG, MỚI 100%#&VN",Tien Hoang Ha,Công ty TNHH Thương Mại Dịch Vụ T.T Quốc Tế,,2.0,0.1,United States of America,Vietnam,Xoài sấy,2024-03
307,All of Vietnam,Export,2024-03-09,20060000.0,Xoài cắt lát ướp đường sấy khô (dẻo) - DRIED MANGO (net weight: 10kgs/ kiện). hàng mới 100%#&VN,"Guangxi Lanmei International Supply Chain Co., Ltd.",Công ty TNHH Tmdv Xuất Nhập Khẩu Lavi Food Đồng Tháp,,54000.0,3040.4,Vietnam,Vietnam,Xoài sấy,2024-03
308,All of Vietnam,Export,2024-03-08,20060000.0,"Xoài sấy dẻo, nhãn hiệu- SOFT DRIED MANGO SLICE 200GR. Hàng mới 100%#&VN",Sei Wha Corp,Công ty TNHH MTV Tam Ngọc,,1500.0,215.9,South Korea,Vietnam,Xoài sấy,2024-03
309,All of Vietnam,Export,2024-03-08,20060000.0,"Xoài sấy dẻo, nhãn hiệu- SOFT DRIED MANGO SLICE 300GR. Hàng mới 100%#&VN",Sei Wha Corp,Công ty TNHH MTV Tam Ngọc,,630.0,90.7,South Korea,Vietnam,Xoài sấy,2024-03
310,All of Vietnam,Export,2024-03-07,20060000.0,"Xoài sấy dẻo - Dried Mango ( không nhãn hiệu ), 10 kg/Carton. Hàng mới 100%#&VN","Guangxi Guojingyuan Food Co., Ltd.",Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26500.0,2270.5,China,Vietnam,Xoài sấy,2024-03
311,All of Vietnam,Export,2024-03-23,20079990.0,"""DRIED SOFT SWEET MANGO (500GR/BAG) - XOÀI CHÍN SẤY DẺO CONG TY CP THUC PHAM CONG NGHE LUONG GIA -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Nguyet Nguyen,Công ty TNHH Vận Chuyển Và Giao Nhận Tam Nhật Long,,3.0,0.5,United States of America,Vietnam,Xoài sấy,2024-03
312,All of Vietnam,Export,2024-03-06,20060000.0,"Xoài sấy dẻo - Dried Mango , 10 kg/Carton. Hàng mới 100%#&VN",Segiz Llc,Công ty TNHH Thương Mại Chế Biến Nông Sản Thực Phẩm Tuấn Đạt,,26200.0,2757.9,Kyrgyzstan,Vietnam,Xoài sấy,2024-03
313,All of Vietnam,Export,2024-03-23,8109099.0,"Xoài sấy khô 10-20 Gr/cái DRIED MANGO quy cách đóng gói 0,2 kg/túi x 150 túi/carton/30 kgs.1 carton.Hàng mới 100%#&VN",Creation Will Trading Limited,Công ty TNHH Jade Royal Seafood,,30.0,3.8,Vietnam,Vietnam,Xoài sấy,2024-03
314,All of Vietnam,Export,2024-03-22,20079990.0,"""DRIED MANGO JAM (MỨT XOÀI) 1.6KGS/BAG ,MANUFACTURER: HUU NGHIA FOOD JOINT STOCK COMPANY ""#&VN",Ngoc Cosmetics,Công ty TNHH Dịch Vụ Mkc,,7.0,2.7,United States of America,Vietnam,Xoài sấy,2024-03
